,zen_rec,log10_sb,beta,stationnumber,angle_B,primary
117,0.7141777515301209,3.326206349720238,-2.1821990285682187,12,0.9827852171529474,unconvphoton
118,0.8871450699258105,3.402241855948193,-1.717943443406888,21,0.9502759405104411,unconvphoton
119,0.8881798711947839,3.4432727962773306,-1.700645631541458,21,0.9501023374124344,unconvphoton
120,0.8886659560434353,3.01860718895961,-1.6958173210787268,13,0.949782551783208,unconvphoton
121,0.8873736537510065,3.325304316774752,-1.6967874175566993,20,0.9503856696194714,unconvphoton
122,0.8892905744722189,3.230561708850052,-1.6890103150740465,19,0.9491307795307167,unconvphoton
123,0.6086833290573028,3.107316053201297,-2.293073572638381,9,0.5034605969658984,unconvphoton
124,0.6275201945033689,3.052337142086591,-2.2873661830521526,7,0.8162051760169795,unconvphoton
125,0.6287065725457337,3.197946089511113,-2.2911482751470404,8,0.81765593827457,unconvphoton
126,0.8979548544556883,3.3457475024056715,-1.710294006981393,18,0.34373763584175093,unconvphoton
127,0.899328023556952,3.3866155847448947,-1.7112798799664124,20,0.3413574112855926,unconvphoton
128,0.8985585756659589,3.2966386640379532,-1.7068217193310655,15,0.3392651342562518,unconvphoton
129,0.8985117756093842,3.350300863430475,-1.7079862302781688,17,0.3423584909471692,unconvphoton
130,0.8999994293982501,3.2301108814500967,-1.719226638465026,15,0.34690110239063987,unconvphoton
131,0.7407207855744113,3.1749687309592627,-2.160142170973085,9,0.3983862939538475,unconvphoton
132,0.7283207226084705,3.08709671539556,-2.1524154403822138,11,0.40810335735882686,unconvphoton
133,0.7326651799725025,3.0964974860183605,-2.1700221756419413,11,0.3834562783760942,unconvphoton
134,0.725977851048036,3.206861796987178,-2.1784171204475076,9,0.40318046043650724,unconvphoton
135,0.7406818498761512,3.100133225316787,-2.1472000832314952,9,0.37464846462965645,unconvphoton
136,0.7790913416113336,2.9973782594318523,-2.0513472675461557,10,0.9331577831112482,unconvphoton
137,0.7590832931089503,3.2816691582406676,-2.1263967708183658,10,0.15547726301870476,unconvphoton
138,0.7540533197529293,3.2893004612997494,-2.11850876918662,11,0.16499278942061749,unconvphoton
139,0.7583789813531261,3.304020123257181,-2.1253137205636747,11,0.1522065610741762,unconvphoton
140,0.7608651962654116,3.3556092585718673,-2.131560682876814,13,0.15396148591883244,unconvphoton
141,0.7612601705843081,3.4353006397415147,-2.1448991428550905,13,0.15407739168061468,unconvphoton
142,0.7059378357261342,2.988308577701336,-2.178427195450714,8,0.9986172046656967,unconvphoton
143,0.662521172842824,2.9678100621718997,-2.2496108725717168,8,0.38444539008970013,unconvphoton
144,0.6594811956915168,3.003413056706467,-2.249316286646472,8,0.4022551340596651,unconvphoton
145,0.6669751939166653,3.0493639988108705,-2.23097069975897,10,0.9519640469666487,unconvphoton
146,0.658825354060597,3.0515013098339705,-2.251801825622098,9,0.9464743599118192,unconvphoton
147,0.8910588708367612,3.477711555545387,-1.7662671939929435,19,0.17696860052310712,unconvphoton
148,0.8793812945149632,3.419328484385785,-1.8075667233150707,14,0.15214904381044164,unconvphoton
149,0.8906863544783921,3.4987572473976862,-1.7865719520870165,18,0.17367177356114313,unconvphoton
150,0.8930530043862805,3.4726568876231507,-1.7697767188423288,19,0.18214917424608654,unconvphoton
151,0.8970174438587273,3.48533918700023,-1.7453085332097358,16,0.18531094922214214,unconvphoton
152,0.9197256484001881,3.22103070291227,-1.5584016230385092,17,0.4799656627958208,unconvphoton
153,0.9206142077696714,3.2329268915695137,-1.538410967749999,18,0.4822858991007586,unconvphoton
154,0.9191605110831214,3.1985286370281942,-1.5453332887849527,18,0.4801109329895982,unconvphoton
155,0.9174696439932739,3.0504209970467513,-1.5450143066295423,14,0.4795640126206364,unconvphoton
156,0.755142610269782,3.3717400377515014,-2.15248778467408,10,0.5255360555005136,unconvphoton
157,0.7438788190149612,3.361395536965942,-2.147110782269814,12,0.5291788828878431,unconvphoton
158,0.7496404475123395,3.2849385429412483,-2.1589555347898877,10,0.5113063347717717,unconvphoton
159,0.7516420868421689,3.233365235465827,-2.1538828288438463,11,0.5258928870584374,unconvphoton
160,0.7589681964691516,3.3504194671166556,-2.142330546528152,10,0.5421998874603863,unconvphoton
161,0.8362008692993532,3.40638426975303,-1.9772108632575378,14,0.4217740021745384,unconvphoton
162,0.8376928214009269,3.4474397980438365,-1.978703824484531,17,0.44072395513666673,unconvphoton
163,0.8335945517290347,3.3785405367207497,-1.9647206696298964,12,0.42605329885180654,unconvphoton
164,0.8368923560669338,3.3991754085859207,-1.9819553455448067,13,0.4436379200504572,unconvphoton
165,0.8370003511553616,3.263521439030897,-1.970474099642995,13,0.4357585416723957,unconvphoton
166,0.9004345480745843,2.9745764991634895,-1.618025388339696,14,0.36824734792605845,unconvphoton
167,0.8797654694242313,3.569132917832085,-1.8591988424823889,18,0.6933830835282062,unconvphoton
168,0.8778817668547971,3.5034486665198297,-1.8318270925987035,16,0.6956359000150362,unconvphoton
169,0.8797161389252051,3.519909246431296,-1.8401065029396684,15,0.6921677736900228,unconvphoton
170,0.8817601752434068,3.486260346512982,-1.832640164194217,18,0.7038854024850864,unconvphoton
171,0.8801049721538625,3.4675365155799525,-1.8446093829230878,16,0.6898984995354286,unconvphoton
172,0.7532323711398434,3.066922600320204,-2.120464390071964,9,0.7657742052874057,unconvphoton
173,0.7494758546278164,3.053372107211063,-2.129986422296186,8,0.7691341164595867,unconvphoton
174,0.8223157817865723,3.114619604685354,-1.9543773593481215,9,0.7846689817805907,unconvphoton
175,0.8291191676774219,3.1577688082143216,-1.970530830400226,10,0.7867505177243646,unconvphoton
176,0.8272003301485195,3.11828919340365,-1.9308341927046644,10,0.7874964356795837,unconvphoton
177,0.8235917322129235,3.1634232142417393,-2.002478553172394,12,0.7837933795048808,unconvphoton
178,0.8242427289617775,3.114962311073841,-1.9389145112847128,10,0.78906678573757,unconvphoton
179,0.8129828056696607,3.071081435412219,-1.987911682623474,8,0.37929084266606894,unconvphoton
180,0.8126183046564202,3.081571050995821,-1.968647039968058,12,0.39052447038062454,unconvphoton
181,0.8207045203262275,3.1045476998816013,-1.9576438354122245,12,0.3879912413079882,unconvphoton
182,0.820624454437395,3.1703695401550918,-1.9567282640824206,13,0.38710550574606756,unconvphoton
183,0.7448244828127556,3.0837939196641946,-2.1313270512749227,9,0.6925310374513107,unconvphoton
184,0.7546932209155598,2.994641194978863,-2.1085601285925253,10,0.6734346346715224,unconvphoton
185,0.8415808162325387,3.065413804402021,-1.9482589923335714,11,0.09141069501022017,unconvphoton
186,0.842174008247587,3.2709493846970767,-1.9381790059294073,14,0.09834901583507864,unconvphoton
187,0.8366156151511306,3.1664833955371607,-1.8986165555948837,12,0.0856600798086117,unconvphoton
188,0.8388248732151062,3.271721935216718,-1.9186614617066147,13,0.09253501478388057,unconvphoton
189,0.8411427111272298,3.175234504957168,-1.891384320706571,12,0.08924352002156524,unconvphoton
190,0.7732207331519529,2.995777737550261,-2.0789603856396353,9,0.9972617375378763,unconvphoton
191,0.7511343073517175,2.984283454464208,-2.1049871154212263,9,0.9995362704748151,unconvphoton
192,0.844858901000025,3.0540184551148757,-1.8602484688799141,11,0.9986530029737364,unconvphoton
193,0.8525426318091585,3.0369885155384946,-1.8855656751052938,10,0.9989944610306188,unconvphoton
194,0.8440761393925476,3.0403872180788873,-1.9024189522612975,12,0.9987867843157264,unconvphoton
195,0.8391212312569724,3.3813619526660723,-1.9477737150375967,14,0.2642746297293445,unconvphoton
196,0.8430469598851497,3.3812334750153483,-1.943736389288237,13,0.2518063062004216,unconvphoton
197,0.8415077190661907,3.501029778901171,-1.9542008873128736,14,0.2471678161326498,unconvphoton
198,0.8386037345983695,3.341957696108903,-1.9178517782194495,14,0.2583302439893329,unconvphoton
199,0.8423804396414003,3.4065809201853825,-1.9537515887264105,15,0.2555558617009215,unconvphoton
200,0.8303537224303048,3.206768354019208,-1.9655271756034096,12,0.9913731987961447,unconvphoton
201,0.8321869688839031,3.2167531082052965,-1.9623072184526875,12,0.9912732959821929,unconvphoton
202,0.8298473507653974,3.1109510329413257,-1.9888862410905666,10,0.9908448627249126,unconvphoton
203,0.8375444115904445,3.127194860792664,-1.9077689833252107,11,0.990849028080372,unconvphoton
204,0.8435528185865505,3.191930957361149,-1.9155346874412527,11,0.9938540757882575,unconvphoton
205,0.8619773852174065,2.6750715717258973,-1.8226858524456562,9,0.7924038756871831,unconvphoton
206,0.7130367673862907,3.2260564926408577,-2.21468588601252,9,0.1594946392172805,unconvphoton
207,0.7177177808341774,3.2076435196602335,-2.171804594850677,10,0.14508184476297573,unconvphoton
208,0.7286725021607213,3.271801040066989,-2.1729634634172967,11,0.12824375788588321,unconvphoton
209,0.7147845834090373,3.303651319485561,-2.2035700086570564,11,0.14838782475547949,unconvphoton
210,0.768088182083103,2.9168169459583844,-2.074170462029338,9,0.7012013156163986,unconvphoton
211,0.2275615158052074,3.139718063165235,-2.4761238481698635,7,0.6801053515396612,unconvphoton
212,0.23307913655416193,3.162534099278034,-2.481065076113522,8,0.6850792450982361,unconvphoton
213,0.2247892836905134,3.213147456201446,-2.4821018040079394,9,0.6946794958506752,unconvphoton
214,0.6795699538864615,4.225364511920669,-2.3592885396518946,17,0.31289954670805253,unconvphoton
215,0.8773245715955077,2.6392314812380775,-1.7497391504482678,9,0.7556552973968022,unconvphoton
216,0.8769326865587262,3.010393186958163,-1.745533147268027,12,0.760126442499834,unconvphoton
217,0.8687651674320827,3.397410531587303,-1.7852560182940806,19,0.35649166451918796,unconvphoton
218,0.8711638540417216,3.3699826950408003,-1.7758123208068968,19,0.36461209759188956,unconvphoton
219,0.8730051785904838,3.3235262335018105,-1.777022359593554,18,0.362998193081943,unconvphoton
220,0.8735515203176761,3.329037558567886,-1.7851392250481684,17,0.3682426876477225,unconvphoton
221,0.8722094428823955,3.2448512491189057,-1.773389636356458,15,0.3606109144329803,unconvphoton
222,0.5283212947705285,3.4631295877003905,-2.3738007878767817,11,0.9975536645969869,unconvphoton
223,0.5359402915582203,3.4987718381459607,-2.3729814696039333,12,0.9981740147561095,unconvphoton
224,0.5279671168273333,3.4713467845090347,-2.3743159547417774,12,0.9975498963834039,unconvphoton
225,0.5304454715410952,3.3767250627061793,-2.3751364060517197,9,0.9977106082012408,unconvphoton
226,0.748395007510473,3.1612792451914182,-2.125352710309026,10,0.4146138607966398,unconvphoton
227,0.7431248088397904,3.1800910988750863,-2.137872693263601,11,0.40802524981526744,unconvphoton
228,0.7472012873541306,3.1717883886924465,-2.121817783093164,11,0.4096583455634447,unconvphoton
229,0.7512374829571261,3.1451955128274447,-2.127710625447698,9,0.39527328436865217,unconvphoton
230,0.8380122181664516,2.902930010597718,-1.8860566715007296,11,0.93493158008976,unconvphoton
231,0.844907476334923,2.8079726891511694,-1.8817714176898583,10,0.9293030949651648,unconvphoton
232,0.8556213378963884,2.714957485472634,-1.8401262597600685,10,0.9217333084047046,unconvphoton
233,0.897033992721734,2.8535844683326608,-1.6682313801125455,13,0.9954385457998076,unconvphoton
234,0.8954718258483639,2.7544138392303403,-1.6718387395224792,11,0.994120797941292,unconvphoton
235,0.896673978734991,2.7558922092736964,-1.6451126742586786,10,0.9952415407747643,unconvphoton
236,0.9027404678356739,2.7527806138788864,-1.70164727701699,11,0.9975731325470951,unconvphoton
237,0.8947781824026825,2.8389396754999043,-1.6551400748969685,11,0.9949461459149365,unconvphoton
238,0.6952424645044186,2.9103052147263027,-2.195172504159509,7,0.5820177629738691,unconvphoton
239,0.7708377871914105,3.077206521439117,-2.078929778444966,10,0.8806507127765013,unconvphoton
240,0.7723773066289376,3.004934021401418,-2.0764155052519717,9,0.8801671031365638,unconvphoton
241,0.7848016658084149,3.023463784844906,-2.036727484889763,11,0.8764753813721617,unconvphoton
242,0.7918177290868434,3.0133836869866015,-2.0400661066871026,10,0.8811632592792783,unconvphoton
243,0.644097042914892,3.0916482756734824,-2.265990259934097,9,0.9713971183348774,unconvphoton
